,0,1,btc
479,19348213,193482,61842.06638944912
480,19348217,193482,61842.06638944912
481,19348218,193482,61842.06638944912
482,19348223,193482,61842.06638944912
483,19348225,193482,61842.06638944912
484,19348228,193482,61842.06638944912
485,19348231,193482,61842.06638944912
486,19348232,193482,61842.06638944912
487,19348235,193482,61842.06638944912
488,19348248,193482,61842.06638944912
489,19348252,193482,61842.06638944912
490,19348256,193482,61842.06638944912
491,19348259,193482,61842.06638944912
492,19348267,193482,61842.06638944912
493,19348272,193482,61842.06638944912
494,19348273,193482,61842.06638944912
495,19348279,193482,61842.06638944912
496,19348280,193482,61842.06638944912
497,19348283,193482,61842.06638944912
498,19348300,193483,61885.95728247053
499,19348304,193483,61885.95728247053
500,19348305,193483,61885.95728247053
501,19348307,193483,61885.95728247053
502,19348310,193483,61885.95728247053
503,19348315,193483,61885.95728247053
504,19348317,193483,61885.95728247053
505,19348319,193483,61885.95728247053
506,19348324,193483,61885.95728247053
507,19348332,193483,61885.95728247053
508,19348336,193483,61885.95728247053
509,19348340,193483,61885.95728247053
510,19348344,193483,61885.95728247053
511,19348346,193483,61885.95728247053
512,19348356,193483,61885.95728247053
513,19348364,193483,61885.95728247053
514,19348365,193483,61885.95728247053
515,19348370,193483,61885.95728247053
516,19348381,193483,61885.95728247053
517,19348384,193483,61885.95728247053
518,19348385,193483,61885.95728247053
519,19348387,193483,61885.95728247053
520,19348650,193486,61789.098861516984
521,19348651,193486,61789.098861516984
522,19348654,193486,61789.098861516984
523,19348656,193486,61789.098861516984
524,19348658,193486,61789.098861516984
525,19348660,193486,61789.098861516984
526,19348661,193486,61789.098861516984
527,19348666,193486,61789.098861516984
528,19348671,193486,61789.098861516984
529,19348673,193486,61789.098861516984
530,19348679,193486,61789.098861516984
531,19348682,193486,61789.098861516984
532,19348683,193486,61789.098861516984
533,19348690,193486,61789.098861516984
534,19348695,193486,61789.098861516984
535,19348699,193486,61789.098861516984
536,19348701,193487,61789.098861516984
537,19348707,193487,61789.098861516984
538,19348721,193487,61789.098861516984
539,19348722,193487,61789.098861516984
540,19348726,193487,61789.098861516984
541,19348727,193487,61789.098861516984
542,19348728,193487,61789.098861516984
543,19348737,193487,61789.098861516984
544,19348739,193487,61789.098861516984
545,19348742,193487,61789.098861516984
546,19348743,193487,61789.098861516984
547,19348746,193487,61789.098861516984
548,19348748,193487,61789.098861516984
549,19348749,193487,61789.098861516984
550,19348750,193487,61789.098861516984
551,19348756,193487,61789.098861516984
552,19348968,193489,61835.3321691275
553,19348970,193489,61835.3321691275
554,19348974,193489,61835.3321691275
555,19348975,193489,61835.3321691275
556,19348977,193489,61835.3321691275
557,19349002,193490,61888.50522664513
558,19349008,193490,61888.50522664513
559,19349017,193490,61888.50522664513
560,19349022,193490,61888.50522664513
561,19349028,193490,61888.50522664513
562,19349029,193490,61888.50522664513
563,19349035,193490,61888.50522664513
564,19349040,193490,61888.50522664513
565,19349041,193490,61888.50522664513
566,19349048,193490,61888.50522664513
567,19349052,193490,61888.50522664513
568,19349057,193490,61888.50522664513
569,19349067,193490,61888.50522664513
570,19349074,193490,61888.50522664513
571,19349093,193490,61888.50522664513
572,19349096,193490,61888.50522664513
573,19349110,193491,61796.566404516234
574,19349111,193491,61796.566404516234
575,19349112,193491,61796.566404516234
576,19349113,193491,61796.566404516234
577,19349117,193491,61796.566404516234
578,19349118,193491,61796.566404516234
579,19349122,193491,61796.566404516234
580,19349126,193491,61796.566404516234
581,19349128,193491,61796.566404516234
582,19349134,193491,61796.566404516234
583,19349136,193491,61796.566404516234
584,19349141,193491,61796.566404516234
585,19349148,193491,61796.566404516234
586,19349190,193491,61796.566404516234
587,19349191,193491,61796.566404516234
588,19349195,193491,61796.566404516234
589,19349198,193491,61796.566404516234
590,19349200,193492,61826.777986566936
591,19349203,193492,61826.777986566936
592,19349204,193492,61826.777986566936
593,19349208,193492,61826.777986566936
594,19349209,193492,61826.777986566936
595,19349212,193492,61826.777986566936
596,19349214,193492,61826.777986566936
597,19349222,193492,61826.777986566936
598,19349236,193492,61826.777986566936
599,19349239,193492,61826.777986566936
600,19349251,193492,61826.777986566936
601,19349252,193492,61826.777986566936
602,19349255,193492,61826.777986566936
603,19349258,193492,61826.777986566936
604,19349263,193492,61826.777986566936
605,19349265,193492,61826.777986566936
606,19349286,193492,61826.777986566936
607,19349290,193492,61826.777986566936
608,19349306,193493,61925.74007734438
609,19349307,193493,61925.74007734438
610,19349308,193493,61925.74007734438
611,19349318,193493,61925.74007734438
612,19349320,193493,61925.74007734438
613,19349323,193493,61925.74007734438
614,19349324,193493,61925.74007734438
615,19349326,193493,61925.74007734438
616,19349330,193493,61925.74007734438
617,19349333,193493,61925.74007734438
618,19349334,193493,61925.74007734438
619,19349340,193493,61925.74007734438
620,19349342,193493,61925.74007734438
621,19349345,193493,61925.74007734438
622,19349346,193493,61925.74007734438
623,19349348,193493,61925.74007734438
624,19349356,193493,61925.74007734438
625,19349363,193493,61925.74007734438
626,19349368,193493,61925.74007734438
627,19349371,193493,61925.74007734438
628,19349373,193493,61925.74007734438
629,19349374,193493,61925.74007734438
630,19349589,193495,62129.34208241549
631,19349600,193496,62044.50755257292
632,19349601,193496,62044.50755257292
633,19349603,193496,62044.50755257292
634,19349606,193496,62044.50755257292
635,19349611,193496,62044.50755257292
636,19349616,193496,62044.50755257292
637,19349627,193496,62044.50755257292
638,19349631,193496,62044.50755257292
639,19349632,193496,62044.50755257292
640,19349637,193496,62044.50755257292
641,19349639,193496,62044.50755257292
642,19349647,193496,62044.50755257292
643,19349652,193496,62044.50755257292
644,19349657,193496,62044.50755257292
645,19349685,193496,62044.50755257292
646,19349760,193497,62069.46576184488
647,19349767,193497,62069.46576184488
648,19349770,193497,62069.46576184488
649,19349771,193497,62069.46576184488
650,19349774,193497,62069.46576184488
